past_power,cur_power,prop_power,prop_ratio,actual_ratio,val_ratio,val_difference
605.9535042016807,434.2716515912904,273,0.549470383276904,0.28332512547571503,0.48436688473356004,0.26614525780118903
589.7006666666666,499.6472592592588,265,0.5506194668255421,0.15271037069780202,0.7226571527188901,0.397909096127739
589.2263355592653,418.71940436241556,261,0.5570462753463461,0.28937425384256205,0.480520260794056,0.267672021503784
586.1337437603993,409.11210101010136,261,0.5547091380108421,0.30201578502305204,0.45554207722976103,0.252693352987789
630.703164429531,414.5852201680671,293,0.5354391470906641,0.34266189936900304,0.36003577394205405,0.19277724772166002
628.0051220338987,442.0242495840266,288,0.5414050142341761,0.29614547067314,0.453005674334136,0.24525954356103502
620.5059881556682,421.93678535773734,282,0.545532186017754,0.320011742977918,0.41339530245882905,0.225520443039835
628.2691969949921,436.40033724832256,291,0.5368227482871171,0.305392753081604,0.43111063371281305,0.23142999520551302
621.0993243697486,398.91714765100687,285,0.5411361938137681,0.35772406763475,0.338938936770026,0.183412126179017
619.9151214642263,425.1326542372875,279,0.549938386176146,0.314208285106623,0.428648203135283,0.23573010106952202
598.8240349417638,403.2890084317029,273,0.5441064752410121,0.326531693954262,0.399875375845094,0.217574781286749
626.4500789915967,381.3732696817426,288,0.540266639500474,0.39121522612680704,0.275884910294439,0.149051413373666
621.0797732656514,411.8600249584025,285,0.541121749141074,0.33686453385394705,0.37746997900444,0.204257215287127
587.1022436974785,423.45680672268884,261,0.555443702009614,0.278734136569085,0.498177519052577,0.27670956544052905
604.8719597315429,419.9308857142856,270,0.553624538786964,0.30575243411736003,0.44772600797773804,0.24787210466960402
566.7839144295306,288.1228219633933,123,0.782986078347336,0.49165314217960804,0.37207933094117,0.29133293616772704
598.3115142378566,365.8368825503363,269,0.5504014320321771,0.388551157976045,0.294058599118379,0.161850274056131
631.0277121464233,421.5457179054058,287,0.545186376959931,0.33196956363211,0.39108976735031503,0.21321681332782003
610.15906156406,402.32162944162485,282,0.5378254331302871,0.340628280746453,0.366656428343475,0.197197152383833
604.5743831932779,433.13671906354523,272,0.550096716696242,0.28356752931578505,0.484513321550383,0.266529187380456
618.540600671141,403.575449251248,279,0.548938259352298,0.34753604078155403,0.36689411812611,0.201402218570743
606.3219474576268,402.5083843594,271,0.5530427339199371,0.33614742786870705,0.392185436582608,0.21689530605123003
615.3914891122286,401.91971932773095,274,0.5547549733011811,0.346887751230447,0.374700961820635,0.20786722207073302
622.767883527455,380.9362676767673,284,0.543971345485288,0.38831741688559,0.286143617474621,0.155653928599697
599.6326157718129,374.5377922948074,147,0.754849892861831,0.375387891779829,0.502698622163624,0.379462001082002
595.9915361344541,408.54674043261235,272,0.543617679935244,0.314509157156142,0.42145156648767,0.22910852277910101
615.621455311973,426.8685790349416,283,0.54030192164666,0.306605422290519,0.432529461757071,0.233696499356141
621.1273949152546,440.15297171381116,282,0.5459868582378731,0.291364420057716,0.46635268658650303,0.254622438180156
618.1557362270455,375.9130789915968,282,0.5438042818769171,0.391879655948827,0.279373721375875,0.151924625928089
601.519043551089,358.39464864864885,273,0.5461490323093761,0.404184036247874,0.259938199398077,0.141964996061502
608.3422462562393,404.5564271356784,280,0.539732770947389,0.334985479595846,0.37934937875302904,0.20474729135154301
